date_unix,date_GMT,Country,League,Home Team,Away Team,Home Team Points Per Game (Pre-Match),Away Team Points Per Game (Pre-Match),Home Team Points Per Game (Current),Away Team Points Per Game (Current),Average Goals,BTTS Average,Over05 Average,Over15 Average,Over25 Average,Over35 Average,Over45 Average,Over05 FHG HT Average,Over15 FHG HT Average,Over05 2HG Average,Over15 2HG Average,Average Corners,Average Cards,Average Over 8.5 Corners,Average Over 9.5 Corners,Average Over 10.5 Corners,Match Status,Result - Home Team Goals,Result - Away Team Goals,Home Team Corners,Away Team Corners,Home Team Offsides,Away Team Offsides,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Shots,Away Team Shots,Home Team Shots On Target,Away Team Shots On Target,Home Team Shots Off Target,Away Team Shots Off Target,Home Team Possession,Away Team Possession,Odds_Home_Win,Odds_Draw,Odds_Away_Win,Odds_Over15,Odds_Over25,Odds_Over35,Odds_Over45,Odds_BTTS_Yes,Odds_BTTS_No,Home Team Pre-Match xG,Away Team Pre-Match xG,Home Team xG,Away Team xG,Odds_Under05,Odds_Under15,Odds_Under25,Odds_Under35,Odds_Under45,Odds_DoubleChance_1x,Odds_DoubleChance_12,Odds_DoubleChance_x2,Odds_DrawNoBet_1,Odds_DrawNoBet_2,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115,Odds_Corners_Under75,Odds_Corners_Under85,Odds_Corners_Under95,Odds_Corners_Under105,Odds_Corners_Under115,Under05 Average,Under15 Average,Under25 Average,Under35 Average,Under45 Average,Odds_1st_Half_Over05,Odds_1st_Half_Over15,Odds_1st_Half_Over25,Odds_1st_Half_Under05,Odds_1st_Half_Under15,Odds_1st_Half_Under25,Odds_2nd_Half_Over05,Odds_2nd_Half_Over15,Odds_2nd_Half_Over25,Odds_2nd_Half_Under05,Odds_2nd_Half_Under15,Odds_2nd_Half_Under25,Odds_1st_Half_BTTS_Yes,Odds_1st_Half_BTTS_No,Odds_2nd_Half_BTTS_Yes,Odds_2nd_Half_BTTS_No,1H BTTS Average,Odds_Home_Team_Had_More_Corners,Odds_Both_Teams_Same_Corners,Odds_Away_Team_Had_More_Corners,Home Team Overall Points Per Game (Pre-Match),Away Team Overall Points Per Game (Pre-Match),Game Week,Match FootyStats URL
1747692360,May 19 2025 - 10:06pm,Esports,Esoccer Battle,Sporting (LaikingDast),Rio Ave (Boulevard),2.00,0.67,2.25,0.50,5.33,100,100,100,100,100,50,100,100,17,0,3.00,1.00,0,0,0,complete,3,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.35,3.10,2.48,N/A,N/A,N/A,1.92,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,1.50,1.57,0,/esports/rio-ave-boulevard-vs-sporting-laikingdast-h2h-stats#7901392
1747692360,May 19 2025 - 10:06pm,Esports,Esoccer Battle,Benfica (hotShot),Braga (Inquisitor),1.50,3.00,1.00,3.00,5.25,100,100,100,100,100,50,100,100,50,25,5.50,0.00,0,0,0,complete,1,3,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.80,2.70,2.33,N/A,N/A,1.55,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,2.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,1.00,1.83,0,/esports/braga-inquisitor-vs-benfica-hotshot-h2h-stats#7901393
1747692480,May 19 2025 - 10:08pm,Esports,Esoccer Battle,Argentina (Serenity),Germany (goldfer),1.00,1.67,0.75,2.00,4.00,100,100,100,67,33,33,100,67,67,17,1.00,0.00,0,0,0,complete,0,4,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.10,4.20,1.53,N/A,N/A,N/A,1.86,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,34,67,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,N/A,N/A,N/A,1.14,1.14,0,/esports/germany-goldfer-vs-argentina-serenity-h2h-stats#7901396
1747692480,May 19 2025 - 10:08pm,Esports,Esoccer Battle,France (zoyir),Italy (tohi4),1.50,0.00,1.00,1.00,5.00,100,100,100,100,50,50,100,100,75,25,2.00,0.00,0,0,0,complete,3,4,1,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.62,4.10,3.55,N/A,N/A,N/A,1.77,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,50,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,2.57,0.29,0,/esports/italy-tohi4-vs-france-zoyir-h2h-stats#7901397
1747693080,May 19 2025 - 10:18pm,Esports,Esoccer Battle,FC Porto (Kodak),Benfica (hotShot),2.00,0.75,1.50,1.20,4.84,88,100,88,88,75,75,100,88,34,0,3.17,0.00,0,0,0,complete,1,2,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,13,13,25,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88,N/A,N/A,N/A,1.29,0.86,0,/esports/fc-porto-kodak-vs-benfica-hotshot-h2h-stats#7901418
1747693080,May 19 2025 - 10:18pm,Esports,Esoccer Battle,Braga (Inquisitor),Sporting (LaikingDast),1.25,1.00,1.60,0.75,4.42,71,100,71,71,71,46,100,71,46,0,6.33,0.00,0,0,0,complete,4,3,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,29,29,29,54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71,N/A,N/A,N/A,2.00,1.71,0,/esports/braga-inquisitor-vs-sporting-laikingdast-h2h-stats#7901419
1747693800,May 19 2025 - 10:30pm,Peru,Primera División,Deportivo Binacional,Cienciano,1.09,1.18,1.09,1.18,3.00,69,96,82,60,41,23,60,36,91,50,9.55,6.36,59,50,41,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.21,3.54,2.40,1.19,1.71,2.70,5.00,1.62,2.16,1.54,1.65,0.00,0.00,10.50,3.75,1.98,1.39,1.10,1.28,1.29,1.44,N/A,N/A,1.44,1.76,2.58,2.85,3.85,2.58,2.00,1.61,1.37,1.20,5,18,41,60,78,1.36,2.50,6.00,2.90,1.42,1.09,1.22,2.00,4.00,3.80,1.73,1.20,N/A,N/A,N/A,N/A,20,1.52,8.15,3.00,1.09,1.18,13,/peru/club-cienciano-vs-escuela-municipal-deportivo-binacional-h2h-stats
1747693800,May 19 2025 - 10:30pm,Brazil,Mineiro 2,Nacional AC MG,Ipatinga,1.50,0.00,1.50,0.00,2.00,25,100,75,25,0,0,75,0,75,25,14.50,0.00,100,100,100,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.06,2.01,3.52,N/A,1.91,N/A,N/A,N/A,N/A,1.74,1.13,0.00,0.00,N/A,N/A,1.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,25,75,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1.00,1.00,4,/brazil/ipatinga-futebol-clube-vs-nacional-atletico-clube-h2h-stats
1747693800,May 19 2025 - 10:30pm,Brazil,Mineiro 2,Democrata SL,Guarani MG,3.00,3.00,3.00,3.00,2.00,0,100,100,0,0,0,50,0,100,50,13.00,0.00,100,100,100,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.75,3.23,4.42,1.49,2.40,N/A,N/A,N/A,N/A,1.22,1.69,0.00,0.00,N/A,2.42,1.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,2.00,1.00,4,/brazil/guarani-mg-vs-democrata-fc-h2h-stats
1747693800,May 19 2025 - 10:30pm,Brazil,Serie C,Confiança,Londrina,1.50,2.00,1.50,2.00,2.00,50,75,75,50,0,0,50,25,75,50,8.00,0.00,75,50,25,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.20,3.06,3.10,1.43,2.28,4.15,6.50,2.00,1.73,2.53,1.32,0.00,0.00,6.75,2.85,1.55,1.18,1.08,1.30,1.30,1.61,N/A,N/A,1.22,1.43,2.05,2.05,2.65,3.55,2.63,1.70,1.70,1.42,25,25,50,100,100,1.48,3.20,8.00,2.50,1.30,1.05,1.33,2.45,5.75,3.00,1.48,1.10,N/A,N/A,N/A,N/A,25,1.88,8.50,2.42,0.60,1.80,6,/brazil/londrina-ec-vs-ad-confianca-h2h-stats
1747693800,May 19 2025 - 10:30pm,Brazil,Serie C,ABC,Anápolis,0.50,1.50,0.50,1.50,2.50,50,100,75,25,25,25,75,50,50,50,10.00,0.00,50,50,50,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.58,3.55,4.85,1.43,2.48,4.75,10.00,2.25,1.63,2.01,1.37,0.00,0.00,6.95,2.40,1.50,1.11,1.01,1.20,1.21,1.93,N/A,N/A,1.20,1.42,1.70,2.23,2.97,3.80,2.49,2.05,1.55,1.30,0,25,75,75,75,1.50,3.52,10.00,2.45,1.30,1.03,1.31,2.55,6.30,3.04,1.45,1.09,N/A,N/A,N/A,N/A,25,1.22,10.20,5.30,1.20,1.00,6,/brazil/abc-fc-vs-anapolis-fc-h2h-stats
1747693800,May 19 2025 - 10:30pm,Paraguay,Division Intermedia,River Plate,Encarnación,1.00,0.25,1.00,0.25,1.67,59,84,59,13,13,0,54,13,42,0,8.25,0.00,63,46,29,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.90,2.90,2.40,N/A,2.35,N/A,N/A,N/A,N/A,1.70,1.35,0.00,0.00,N/A,N/A,1.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,42,88,88,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,N/A,N/A,N/A,0.63,1.13,9,/paraguay/club-river-plate-vs-encarnacion-fc-h2h-stats
1747694400,May 19 2025 - 10:40pm,Esports,Esoccer Battle,Denmark (Inquisitor),Ukraine (Boulevard),0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.65,3.45,2.06,N/A,N/A,1.67,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,2.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.00,0.00,0,/esports/ukraine-boulevard-vs-denmark-inquisitor-h2h-stats
