date_unix,date_GMT,Country,League,Home Team,Away Team,Home Team Points Per Game (Pre-Match),Away Team Points Per Game (Pre-Match),Home Team Points Per Game (Current),Away Team Points Per Game (Current),Average Goals,BTTS Average,Over05 Average,Over15 Average,Over25 Average,Over35 Average,Over45 Average,Over05 FHG HT Average,Over15 FHG HT Average,Over05 2HG Average,Over15 2HG Average,Average Corners,Average Cards,Average Over 8.5 Corners,Average Over 9.5 Corners,Average Over 10.5 Corners,Match Status,Result - Home Team Goals,Result - Away Team Goals,Home Team Corners,Away Team Corners,Home Team Offsides,Away Team Offsides,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Shots,Away Team Shots,Home Team Shots On Target,Away Team Shots On Target,Home Team Shots Off Target,Away Team Shots Off Target,Home Team Possession,Away Team Possession,Odds_Home_Win,Odds_Draw,Odds_Away_Win,Odds_Over15,Odds_Over25,Odds_Over35,Odds_Over45,Odds_BTTS_Yes,Odds_BTTS_No,Home Team Pre-Match xG,Away Team Pre-Match xG,Home Team xG,Away Team xG,Odds_Under05,Odds_Under15,Odds_Under25,Odds_Under35,Odds_Under45,Odds_DoubleChance_1x,Odds_DoubleChance_12,Odds_DoubleChance_x2,Odds_DrawNoBet_1,Odds_DrawNoBet_2,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115,Odds_Corners_Under75,Odds_Corners_Under85,Odds_Corners_Under95,Odds_Corners_Under105,Odds_Corners_Under115,Under05 Average,Under15 Average,Under25 Average,Under35 Average,Under45 Average,Odds_1st_Half_Over05,Odds_1st_Half_Over15,Odds_1st_Half_Over25,Odds_1st_Half_Under05,Odds_1st_Half_Under15,Odds_1st_Half_Under25,Odds_2nd_Half_Over05,Odds_2nd_Half_Over15,Odds_2nd_Half_Over25,Odds_2nd_Half_Under05,Odds_2nd_Half_Under15,Odds_2nd_Half_Under25,Odds_1st_Half_BTTS_Yes,Odds_1st_Half_BTTS_No,Odds_2nd_Half_BTTS_Yes,Odds_2nd_Half_BTTS_No,1H BTTS Average,Odds_Home_Team_Had_More_Corners,Odds_Both_Teams_Same_Corners,Odds_Away_Team_Had_More_Corners,Home Team Overall Points Per Game (Pre-Match),Away Team Overall Points Per Game (Pre-Match),Game Week,Match FootyStats URL
1748899800,Jun 02 2025 - 9:30pm,Esports,Esoccer Battle,FC Porto (Boulevard),Benfica (Kray),0.00,3.00,1.00,2.17,5.00,100,100,100,100,75,75,100,100,25,0,1.00,0.00,0,0,0,complete,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,25,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,1.80,2.00,0,/esports/fc-porto-boulevard-vs-benfica-kray-h2h-stats#7909538
1748899800,Jun 02 2025 - 9:30pm,Esports,Esoccer Battle,Braga (LaikingDast),Sporting (Kodak),0.00,1.67,1.20,1.25,4.50,100,100,100,100,84,34,100,100,17,0,7.00,2.00,0,0,0,complete,4,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,17,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,1.20,0.83,0,/esports/braga-laikingdast-vs-sporting-kodak-h2h-stats#7909539
1748899920,Jun 02 2025 - 9:32pm,Esports,Esoccer Battle,Spain (Samurai),Germany (goldfer),3.00,3.00,3.00,2.00,3.67,67,100,67,67,67,67,100,67,0,0,1.00,1.00,0,0,0,complete,1,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,34,34,34,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,N/A,N/A,N/A,2.50,2.17,0,/esports/spain-samurai-vs-germany-goldfer-h2h-stats#7909540
1748899920,Jun 02 2025 - 9:32pm,Esports,Esoccer Battle,Italy (v1nniePuh),Argentina (maksdh),0.00,0.00,0.25,0.33,5.92,100,100,100,100,100,100,100,100,34,0,0.00,2.00,0,0,0,complete,2,2,0,0,-1,-1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,0.57,0.17,0,/esports/italy-v1nniepuh-vs-argentina-maksdh-h2h-stats#7909541
1748900520,Jun 02 2025 - 9:42pm,Esports,Esoccer Battle,Sporting (Kodak),FC Porto (Boulevard),0.00,3.00,0.75,1.80,4.83,100,100,100,100,67,50,100,100,50,0,6.00,0.00,0,0,0,complete,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,34,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,N/A,N/A,N/A,0.71,2.00,0,/esports/fc-porto-boulevard-vs-sporting-kodak-h2h-stats#7909516
1748900520,Jun 02 2025 - 9:42pm,Esports,Esoccer Battle,Rio Ave (hotShot),Braga (LaikingDast),0.50,3.00,1.00,2.00,4.75,100,100,100,100,75,50,100,100,0,0,3.50,0.00,0,0,0,complete,5,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.20,2.75,2.10,N/A,N/A,N/A,2.16,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,25,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,1.33,1.50,0,/esports/braga-laikingdast-vs-rio-ave-hotshot-h2h-stats#7909518
1748900640,Jun 02 2025 - 9:44pm,Esports,Esoccer Battle,Argentina (maksdh),Spain (Samurai),0.25,2.00,0.80,1.50,4.04,59,100,75,75,59,46,100,75,13,13,0.83,0.00,0,0,0,complete,2,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,25,25,42,54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59,N/A,N/A,N/A,0.29,2.57,0,/esports/spain-samurai-vs-argentina-maksdh-h2h-stats#7909517
1748901600,Jun 02 2025 - 10:00pm,Argentina,Prim B Nacional,Nueva Chicago,Temperley,1.14,0.86,1.00,1.13,1.72,29,72,72,29,0,0,57,22,65,29,8.14,5.80,45,45,30,complete,0,1,2,6,-1,-1,-1,-1,-1,-1,15,7,5,4,10,3,50,50,2.50,2.64,2.70,1.75,3.20,7.20,12.00,2.50,1.48,1.34,1.00,1.77,1.08,4.90,2.00,1.34,1.03,1.01,1.44,1.41,1.44,N/A,N/A,1.49,1.98,2.55,3.27,4.60,2.38,1.72,1.48,1.30,1.15,29,29,72,100,100,1.67,4.65,14.50,2.08,1.18,1.02,1.45,3.26,7.00,2.60,1.29,1.06,N/A,N/A,N/A,N/A,7,1.57,6.80,2.99,0.93,1.47,17,/argentina/ca-temperley-vs-ca-nueva-chicago-h2h-stats#7791876
1748901600,Jun 02 2025 - 10:00pm,Finland,Kolmonen Länsi,I-Kissat,NoPS,0.00,1.86,0.00,1.86,2.15,36,50,50,43,36,29,29,15,29,22,6.00,-0.71,50,38,38,canceled,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,1.58,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,7,15,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.00,1.86,0,/finland/tampereen-viipurin-ilves-kissat-vs-nokian-palloseura-h2h-stats
1748901600,Jun 02 2025 - 10:00pm,Chile,Primera División,Cobresal,Deportes Iquique,1.83,0.33,2.00,0.29,2.67,67,92,75,50,33,9,75,42,67,50,7.66,7.83,67,50,42,complete,2,1,-1,-1,-1,-1,4,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1.82,3.72,4.05,1.19,1.75,2.75,5.05,1.65,2.11,1.73,1.31,0.00,0.00,10.00,3.80,2.04,1.35,1.10,1.23,1.26,1.95,N/A,N/A,1.32,1.54,1.88,2.38,3.05,2.95,2.23,1.77,1.47,1.30,9,25,50,67,92,1.32,2.53,5.95,3.10,1.46,1.07,1.17,1.96,3.98,4.20,1.79,1.19,N/A,N/A,N/A,N/A,17,1.71,6.40,2.40,1.58,0.45,13,/chile/club-deportes-iquique-vs-cd-cobresal-h2h-stats#7818905
